rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,avg_comments,engagement,engagement_rate_pct,engagement_rate_decimal,likes_per_post_from_total,likes_per_post,following,followers_following_ratio,log1p_followers,log1p_posts,log1p_total_likes,log1p_likes_per_post,caption_len,hashtag_count,mention_count,url_count,days_since_last_post,account_age_days,posts_per_day,posts_per_month,verified_binary,followers_times_engrate
49,shawnmendes,83,2500.0,69900000.0,3500000.0,2.87,2000000.0,8800000000.0,Canada,0.0,3500000.0,5.007153075822604,0.05007153075822604,3520000.0,3500000.0,,,18.06257622151019,7.824445930877619,22.898017558544208,15.068273812173887,,,,,,,,,0,3500000.0
50,jennierubyjane,76,860.0,68900000.0,5100000.0,8.36,5700000.0,4400000000.0,Unknown,0.0,5100000.0,7.402031930333817,0.07402031930333818,5116279.069767442,5100000.0,,,18.048166750497675,6.7580945044277305,22.2048703780979,15.444751293772967,,,,,,,,,0,5100000.0
51,narendramodi,85,540.0,68900000.0,2900000.0,3.01,2000000.0,1600000000.0,India,0.0,2900000.0,4.2089985486211905,0.0420899854862119,2962962.962962963,2900000.0,,,18.048166750497675,6.293419278846481,21.193269466817146,14.88022163978423,,,,,,,,,0,2900000.0
52,aliaabhatt,82,1800.0,68700000.0,1800000.0,3.14,2100000.0,3300000000.0,India,0.0,1800000.0,2.6200873362445414,0.026200873362445413,1833333.3333333333,1800000.0,,,18.04525977174862,7.496097345175956,21.917188305721876,14.403297778421795,,,,,,,,,0,1800000.0
53,deepikapadukone,83,260.0,68400000.0,1600000.0,2.23,1500000.0,419000000.0,India,0.0,1600000.0,2.3391812865497075,0.023391812865497075,1611538.4615384615,1600000.0,,,18.04088339721266,5.564520407322694,19.853381480273047,14.285514812209815,,,,,,,,,0,1600000.0
54,tomholland2013,77,1200.0,67700000.0,5400000.0,10.83,7300000.0,6600000000.0,Unknown,0.0,5400000.0,7.976366322008863,0.07976366322008863,5500000.0,5400000.0,,,18.03059675265355,7.0909098220799835,22.610335486130307,15.501909696719672,,,,,,,,,0,5400000.0
55,ronaldinho,78,2900.0,67700000.0,872900.0,0.49,325700.0,2600000000.0,Brazil,0.0,872900.0,1.2893648449039883,0.012893648449039882,896551.724137931,872900.0,,,18.03059675265355,7.972810784121404,21.678777282358464,13.679577426329384,,,,,,,,,0,872900.0
56,emmawatson,87,340.0,67300000.0,1900000.0,0.01,0.0,639000000.0,United States,0.0,1900000.0,2.823179791976226,0.02823179791976226,1879411.7647058824,1900000.0,,,18.024670809473797,5.831882477283517,20.275415013906755,14.45736497045232,,,,,,,,,0,1900000.0
57,bts.bighitofficial,78,1200.0,66900000.00000001,4099999.9999999995,5.4,3600000.0,4900000000.0,Uruguay,0.0,4099999.9999999995,6.128550074738414,0.06128550074738414,4083333.3333333335,4099999.9999999995,,,18.01870954004614,7.0909098220799835,22.312501042267073,15.226497775576945,,,,,,,,,0,4099999.9999999995
58,katrinakaif,85,1000.0,66300000.0,1700000.0,2.25,1500000.0,1700000000.0,India,0.0,1700000.0,2.564102564102564,0.02564102564102564,1700000.0,1700000.0,,,18.009700470239046,6.90875477931522,21.253894088596816,14.346139397261565,,,,,,,,,0,1700000.0
59,marvel,82,7000.0,66200000.0,332300.0,0.51,339000.0,2300000000.0,Turkey,0.0,332300.0,0.501963746223565,0.0050196374622356495,328571.4285714286,332300.0,,,18.008191036012978,8.853808274977197,21.556174960316298,12.713796463667077,,,,,,,,,0,332300.0
60,justintimberlake,87,780.0,65900000.00000001,600400.0,0.3,189400.0,470700000.0,United States,0.0,600400.0,0.9110773899848255,0.009110773899848254,603461.5384615385,600400.0,,,18.00364901464724,6.660575149839686,19.969731508495865,13.305353044296353,,,,,,,,,0,600400.0
61,camila_cabello,77,2900.0,65000000.0,1900000.0,2.19,1400000.0,5400000000.0,United States,0.0,1900000.0,2.923076923076923,0.02923076923076923,1862068.9655172413,1900000.0,,,17.989897843244528,7.972810784121404,22.409664790701825,14.45736497045232,,,,,,,,,0,1900000.0
62,willsmith,82,1400.0,63900000.0,1400000.0,0.02,0.0,1900000000.0,United States,0.0,1400000.0,2.190923317683881,0.02190923317683881,1357142.857142857,1400000.0,,,17.972829934997215,7.244941546337007,21.365119723645122,14.151983508870947,,,,,,,,,0,1400000.0
63,raffinagita1717,83,17500.0,63500000.0,386900.0,0.58,366600.0,6800000000.0,Indonesia,0.0,386900.0,0.6092913385826771,0.006092913385826772,388571.4285714286,386900.0,,,17.96655047961095,9.770013301136158,22.64018844927553,12.86592412533246,,,,,,,,,0,386900.0
64,anitta,82,5100.0,63100000.0,855500.0,0.69,426200.0,4400000000.0,United States,0.0,855500.0,1.3557844690966718,0.013557844690966719,862745.0980392157,855500.0,,,17.9602313433593,8.537191877922927,22.2048703780979,13.659442541220773,,,,,,,,,0,855500.0
65,sooyaaa__,82,830.0,62900000.0,4500000.0,9.43,5900000.0,3800000000.0,Unknown,0.0,4500000.0,7.154213036565977,0.07154213036565978,4578313.253012048,4500000.0,,,17.95705673756892,6.7226297948554485,22.05826690394191,15.319588176962746,,,,,,,,,0,4500000.0
66,maluma,84,8200.0,62800000.0,1200000.0,1.12,696300.0,9800000000.0,Colombia,0.0,1200000.0,1.910828025477707,0.01910828025477707,1195121.9512195121,1200000.0,,,17.955465647361994,9.012011377036412,23.00564822272498,13.997832948091215,,,,,,,,,0,1200000.0
67,akshaykumar,85,1900.0,62800000.0,1500000.0,1.01,624900.0,2900000000.0,Unknown,0.0,1500000.0,2.388535031847134,0.02388535031847134,1526315.7894736843,1500000.0,,,17.955465647361994,7.550135342488429,21.787976574283668,14.220976332738882,,,,,,,,,0,1500000.0
68,jacquelinef143,85,2400.0,62700000.0,1100000.0,1.15,718800.0,2800000000.0,India,0.0,1100000.0,1.7543859649122806,0.017543859649122806,1166666.6666666667,1100000.0,,,17.95387202155211,7.783640596221253,21.752885254484713,13.910821646859095,,,,,,,,,0,1100000.0
69,psg,86,10000.0,61900000.0,500500.0,0.52,322200.0,5000000000.0,France,0.0,500500.0,0.808562197092084,0.00808562197092084,500000.0,500500.0,,,17.941030753809912,9.210440366976517,22.33270374958051,13.123364875737414,,,,,,,,,0,500500.0
70,roses_are_rosie,82,820.0,61800000.0,4600000.0,9.72,6000000.0,3800000000.0,Unknown,0.0,4600000.0,7.443365695792881,0.0744336569579288,4634146.341463415,4600000.0,,,17.93941393860915,6.710523109452428,22.05826690394191,15.341567078850604,,,,,,,,,0,4600000.0
71,manchesterunited,85,9900.0,59600000.0,381800.0,0.41,241600.0,3800000000.0,United Kingdom,0.0,381800.0,0.6406040268456376,0.006406040268456376,383838.38383838383,381800.0,,,17.9031661488141,9.200391041122515,22.05826690394191,12.852654809442695,,,,,,,,,0,381800.0
72,anushkasharma,85,1200.0,59500000.0,1900000.0,2.34,1400000.0,2200000000.0,Unknown,0.0,1900000.0,3.1932773109243695,0.031932773109243695,1833333.3333333333,1900000.0,,,17.90148688732258,7.0909098220799835,21.511723197765228,14.45736497045232,,,,,,,,,0,1899999.9999999998
73,whinderssonnunes,79,2700.0,58700000.0,1600000.0,0.58,323100.0,4400000000.0,Brazil,0.0,1600000.0,2.72572402044293,0.027257240204429302,1629629.6296296297,1600000.0,,,17.8879503018341,7.901377353792616,22.2048703780979,14.285514812209815,,,,,,,,,0,1600000.0
74,9gag,86,10000.0,58100000.0,672600.0,0.44,248600.0,6700000000.0,United States,0.0,672600.0,1.157659208261618,0.01157659208261618,670000.0,672600.0,,,17.877676239033843,9.210440366976517,22.625373363492585,13.418907565054967,,,,,,,,,0,672600.0
75,marcelotwelve,86,2700.0,58100000.0,690900.0,0.78,448300.0,1900000000.0,Brazil,0.0,690900.0,1.189156626506024,0.01189156626506024,703703.7037037037,690900.0,,,17.877676239033843,7.901377353792616,21.365119723645122,13.445751821863304,,,,,,,,,0,690900.0
76,milliebobbybrown,80,280.0,57600000.0,4000000.0,8.63,5000000.0,1100000000.0,United States,0.0,4000000.0,6.944444444444445,0.06944444444444445,3928571.4285714286,4000000.0,,,17.86903314302723,5.638354669333745,20.818576017659826,15.201805169084134,,,,,,,,,0,4000000.0
77,karimbenzema,42,2000.0,56900000.0,878500.0,1.62,918900.0,1800000000.0,Spain,0.0,878500.0,1.5439367311072056,0.015439367311072056,900000.0,878500.0,,,17.856805916671252,7.601402334583733,21.311052502404085,13.685972324912568,,,,,,,,,0,878500.0
